gene	control	dpi1
GNAI3	0	0.356078703
ANXA5	0	0.065406403
STS	0	0.597873665
RPSA	0	0.262714643
CD63	0	0.017977943
MRPL3	0	0.067345143
SNRPA	0	0.296434703
ENO2	0	0.531821105
ACAA1	0	0.253770413
SRP19	0	0.210930313
GSTP1	0	0.244688223
SNRPC	0	0.593925408
VIL1	0	0.012262995
QDPR	0	0.233519245
HMGB1	0	0.169397023
FBP1	0	0.161990475
SPARC	0	0.192227918
TPM1	0	0.129274298
CLTA	0	0.229781888
CLTB	0	0.208519958
ANXA4	0	0.266641123
CNP	0	0.091361935
DLD	0	0.08177654
HNRNPA1	0	0.177812385
SNRPA1	0	0.203413965
CTSH	0	0.390922505
COX6C	0	0.254010798
TACSTD2	0	0.18187012
PARP1	0	0.093216065
UCHL1	0	0.115496625
FURIN	0	0.02882475
LTA4H	0	0.0284345
ALDOC	0	0.419146128
TFPT	0	0.872778998
FBXO45	0	0.44831205
CISD3	0	0.15828409
JMJD7	0	0.121361895
POLR2M	0	0.06682783
ZSCAN5D	0	0.605676665
GSTT2B	0	0.715075508
TMSB15B	0	0.280164883
ZNF888	0	0.935075158
TRAPPC2B	0	1.025703663
RAB34	0	0.257022925
PET100	0	0.176764315
SMIM13	0	0.177083585
SULT1A4	0	0.014080225
INAFM2	0	0.959877998
HSPA1B	0	0.14018234
U2AF1	0	0.097463245
CBS	0	0.437606888
P0DP25	0	0.532084378
P0DPB3	0	0.448148694
P0DPB5	0	0.934798643
P0DPI2	0	0.743472489
ZBTB48	0	0.191109198
FDX1	0	0.140949585
TROVE2	0	0.158368573
COX8A	0	0.071996258
GAA	0	0.0558828
RRAS	0	0.647743083
HLA-A	0	0.321362655
ARAF	0	0.027377405
HIST1H1E	0	0.121364345
DLAT	0	0.118100863
PTPRF	0	0.00298789
NR2F6	0	0.116843683
TXN	0	0.045084473
COX5B	0	0.14827572
CTSA	0	0.970669923
MGST1	0	0.599992458
PRKAR1A	0	0.104400805
KIT	0	0.280096595
UROS	0	0.192464275
ESD	0	0.56201899
HSPD1	0	0.324717755
CLU	0	0.330467193
HSPA5	0	0.215345585
LAMC1	0	0.116864145
ACP2	0	0.553354923
MAP2	0	0.02765549
HSPA8	0	0.043405708
SLC2A1	0	0.164143385
SLC2A3	0	0.493218633
EPB41	0	0.383804118
UMPS	0	0.09109908
PDHB	0	0.179511128
DBT	0	0.278051453
PYGB	0	0.019393723
RALA	0	0.288169425
RALB	0	0.155003663
BCR	0	0.004411538
LAMP1	0	0.130500055
ACADM	0	0.174420328
TOP1	0	0.139561595
TOP2A	0	0.652583808
G6PD	0	0.09233821
UBL4A	0	0.055716645
PC	0	0.216845005
DMD	0	0.50105243
MTHFD1	0	0.186261975
SFTPC	0	0.20446359
IGF2R	0	0.3299658
ADH5	0	0.09796423
CDK4	0	0.148446715
SRF	0	0.460765388
PRPS2	0	0.030542943
PABPC1	0	0.091797218
PCNA	0	0.157095905
COX6A1	0	0.179897685
HARS	0	0.124294193
SLC25A4	0	0.362810035
SLC25A6	0	0.20860196
IMPDH2	0	0.028640583
TPR	0	0.244428548
CKB	0	0.098175708
ANXA3	0	0.015110823
CKMT1A	0	0.259602048
BMP3	0	0.004317138
BCKDHA	0	0.233493095
ACTN1	0	0.159945738
CDH1	0	0.006463725
SRC	0	-0.032541973
PEPD	0	0.08359104
XRCC6	0	0.100666825
XRCC5	0	0.121429245
UNG	0	0.409560668
COX4I1	0	0.038212808
ALAS1	0	0.246694193
IFI30	0	0.68004694
LAMP2	0	0.453236693
RNH1	0	0.137259345
BMP1	0	0.098069548
CYBA	0	0.1187007
VCAN	0	0.27393679
EEF2	0	0.042970225
PDIA4	0	0.205353305
P4HA1	0	0.43663916
ACP5	0	0.160468145
CEACAM1	0	0.492740023
TPT1	0	0.184467838
ALAD	0	0.06450752
F3	0	0.041333833
HLA-A	0	0.116315773
HLA-E	0	0.158580273
LCP1	0	0.099001445
PLS3	0	0.18019382
APEH	0	0.103660268
ETFA	0	0.531752643
GYS1	0	0.19668564
PRKAR2A	0	0.150958595
ENO3	0	0.137163233
GTF2F2	0	0.103801413
CD59	0	0.315963918
CCDC130	0	0.47624473
MTHFD2	0	0.275557895
CTSE	0	0.379433665
MIF	0	0.222968913
CD99	0	-0.028714358
PRKCSH	0	0.273139975
IRF2	0	0.05955415
FDPS	0	0.358355565
CPM	0	0.424451325
COX7A2	0	1.163862713
AKR1A1	0	0.227059183
PKM	0	0.251583635
ACYP2	0	0.322250758
HSP90B1	0	0.14789332
MYL6B	0	0.33003226
SNRPB	0	0.120577925
IDE	0	0.374475113
COX6B1	0	0.056910025
POU2F1	0	0.04408828
HNRNPL	0	0.137692205
DARS	0	0.063903608
JUP	0	0.03889541
UQCRB	0	0.20530065
BRAF	0	-0.054010518
GLUL	0	0.130340725
AKR1B1	0	0.331799718
PVR	0	0.306999223
GSPT1	0	0.223607188
ARSA	0	0.101647598
B4GALT1	0	0.112778335
ACPP	0	0.037830928
EZR	0	0.137873063
FOLR1	0	0.139880105
ATF2	0	0.02022849
UCHL3	0	0.106411863
CD46	0	0.82555546
NME1	0	0.57335152
NQO1	0	0.29250108
GNS	0	0.254700198
PHKG2	0	0.05462866
ARSB	0	0.201613465
RPS2	0	0.27278827
TCF3	0	0.302911
DSP	0	0.02757262
RPA2	0	0.220902758
MUC1	0	0.122874408
COX7C	0	0.672143118
CD44	0	0.137252535
NQO2	0	0.291127648
H2AFX	0	0.428555155
PFKFB1	0	1.593863405
ITGB4	0	1.080558643
CBR1	0	0.299505035
ACADS	0	0.301644565
CREB1	0	0.037982735
SLC25A16	0	0.283167073
GLB1	0	0.065691353
NCK1	0	0.145373133
GCFC2	0	0.136602628
HIST1H1B	0	0.24531196
HIST1H1D	0	0.109739618
HIST1H1C	0	0.430502515
EPCAM	0	0.49899161
POR	0	0.3354668
MGMT	0	0.206463008
FER	0	0.217813865
ATP2A2	0	0.099211418
CPE	0	0.10763153
FAH	0	0.205152213
STMN1	0	0.399120875
YBX3	0	0.327965063
ZFX	0	0.008701155
ZNF14	0	0.831952158
ZNF22	0	0.057028265
ZNF24	0	0.006897973
ZKSCAN1	0	0.24370165
ZNF25	0	0.549888138
ZSCAN20	0	0.241634603
NAGA	0	0.111485535
HSPA6	0	0.41425622
HMGA1	0	0.31749377
ZNF8	0	0.681233373
TMEM11	0	0.57582476
GOT1	0	0.115648235
PRKCA	0	0.203099553
ITGA2	0	0.194497958
GJA1	0	0.251623588
SMPD1	0	0.053667383
UBTF	0	0.291229643
ATF7	0	0.198828798
NDUFB7	0	0.07982036
PRKACA	0	-0.010198818
CAPN2	0	0.266549825
CEBPB	0	0.412980668
PTPN2	0	-0.019629295
CTPS1	0	0.057812925
ENG	0	0.375098647
DDX5	0	0.08936646
PFKL	0	0.043203088
GM2A	0	0.47118728
LGALS3	0	0.395686998
PSMC3	0	0.142798673
TCP1	0	0.3425743
PTPN1	0	0.072155085
IGFBP2	0	-0.103997333
ERCC2	0	0.221154368
RPL35A	0	0.289137963
ITGB5	0	0.240679118
ARF4	0	0.457465035
RPL7	0	0.10356384
VCL	0	0.096715223
GPX2	0	0.110392438
PTPRA	0	0.60951224
NAT1	0	0.172809605
ITGB6	0	-0.04222556
SON	0	0.065017893
NELFE	0	0.158412198
RPL17	0	0.04437193
PGAM1	0	0.44572374
RCC1	0	0.089892268
SDC1	0	0.437806453
ATF1	0	0.05541967
LIG1	0	0.462449083
ATP5J	0	0.367664273
XRCC1	0	0.1479102
KRT15	0	0.382242295
PAM	0	0.092364915
CDH2	0	0.136770273
MYL12A	0	0.180851563
PLCG1	0	0.223421728
CD58	0	0.222690665
NCL	0	0.266800835
HK1	0	0.06439095
POLR2C	0	0.185771008
POLR2E	0	0.117690935
NDUFV2	0	0.068509288
GGT1	0	0.294807578
ERCC3	0	0.23747833
TRIM21	0	0.481676588
TFEB	0	0.033871433
EIF2AK2	0	0.17389721
TFE3	0	0.043184503
SRM	0	0.279685978
SLC9A1	0	0.675772685
CSNK2A2	0	0.472904228
RXRA	0	0.158768145
NFKB1	0	0.066731095
TYMP	0	0.088554235
ATP2B1	0	0.18530359
EIF2S2	0	0.032373553
TCN2	0	1.006495455
ANXA7	0	0.225821283
PGC	0	0.127902475
TBP	0	0.060754903
BTF3	0	0.160828265
RAB3A	0	0.60821149
RAB4A	0	0.283621315
RAB5A	0	0.210361243
RAB6A	0	0.171724505
MSH3	0	0.157562543
PSMB1	0	0.27107036
M6PR	0	0.67272413
HIST1H2AD	0	0.208022305
COX5A	0	0.146912373
LMNB1	0	0.118472335
BCL3	0	1.10845806
CAST	0	0.04392893
EFNA1	0	0.006316198
IMPDH1	0	0.165802143
NEB	0	0.593978703
AGA	0	0.043626358
RASA1	0	0.069441913
PTMS	0	0.373154073
CDK11B	0	0.284706518
GSTM3	0	0.494261113
ATP6V1B2	0	0.05073002
ATP6V1C1	0	0.30938625
CSRP1	0	0.398025638
FLNA	0	0.068096588
NF1	0	1.070610448
MAOA	0	0.23884084
ACO1	0	0.081173385
NT5E	0	0.287445338
TAF1	0	0.116875933
EPHA1	0	0.16371919
MDK	0	0.33228474
VDAC1	0	0.095996685
FGFR2	0	0.066217855
ERBB3	0	0.126528043
SDHB	0	0.197935955
CD9	0	0.42228918
BCKDHB	0	0.251255833
COMT	0	0.06253212
TGM2	0	0.0279417
MUT	0	0.147436238
OSBP	0	0.017023843
PCMT1	0	0.03340338
FBL	0	0.117515813
RPS4Y1	0	0.089972613
GART	0	0.056386465
CDH3	0	0.110518655
PAICS	0	0.246865273
SCP2	0	0.315720918
UBA1	0	0.10394484
NME2	0	0.116420918
ENPP1	0	0.247041485
USF1	0	0.130023168
FDXR	0	0.129168525
HNRNPA2B1	0	0.21944754
RFX1	0	0.204961375
PRKACB	0	0.039111808
UQCRC2	0	0.16884022
NR4A1	0	0.229094083
GNLY	0	-0.00429562
FECH	0	0.199011725
XPA	0	0.333969518
FBLN1	0	0.021246315
TCEA1	0	0.118237795
SFPQ	0	0.138407745
TUBG1	0	0.05045398
PPIB	0	0.10449931
KAL1	0	-0.003576553
ME2	0	0.171934715
GLDC	0	0.143874945
WARS	0	0.13860575
RPS3	0	0.065032108
GCSH	0	0.125464988
RPS6KB1	0	0.250641333
JAK1	0	0.170103928
PTPRE	0	0.01547415
SP100	0	-0.110228323
NFYA	0	0.547548
AHCY	0	0.132426708
CFL1	0	0.129242613
EIF4B	0	0.30350807
F8A1	0	0.123529463
ATP2B4	0	0.14744865
DGKA	0	0.096691018
CPT2	0	0.23295277
DTYMK	0	0.057748833
RRM1	0	0.281347583
LAMA2	0	0.202055808
CHM	0	0.457715553
EEF1B2	0	0.104855943
ATP5F1	0	0.141202183
AKAP5	0	0.361931063
IGFBP5	0	-0.039112413
ACP1	0	0.157087245
ACAT1	0	0.198944338
POLR2A	0	0.155446298
CDK2	0	0.082568363
APC	0	0.390492558
ADRBK1	0	0.116799355
MCM3	0	0.145826058
NFYB	0	1.289617378
MPST	0	0.144466478
LAMA1	0	0.30109576
RPS12	0	0.229263138
BRD2	0	0.143788135
FAS	0	0.246814588
YY1	0	0.066136158
DNAJB1	0	0.115040848
DNAJB2	0	0.00274712
ATP5A1	0	0.26728819
CTSS	0	0.181824603
PSMA1	0	0.022758005
PSMA2	0	0.17480714
PSMA3	0	0.286417498
PSMA4	0	0.422951238
S100P	0	0.874852398
ITGA3	0	0.250417113
MSN	0	0.15394098
PTPN3	0	0.14145756
DDX6	0	0.21166359
DNMT1	0	0.12965433
U2AF2	0	0.045056715
RPL13	0	0.204054088
IVD	0	0.367138698
S100A4	0	0.219728615
MGAT1	0	0.267575278
HMGB2	0	0.118867293
PTBP1	0	0.554510038
TARS	0	0.127274783
VARS	0	0.033901198
EEF1G	0	0.005737225
FKBP2	0	0.132667863
ACVR2A	0	0.052294228
STOM	0	0.050142575
AK4	0	0.130606965
PON1	0	0.26613636
MAOB	0	0.789506768
YWHAQ	0	0.406294525
MAPK3	0	0.191484103
MARK3	0	0.204621855
DPP4	0	0.396645455
ARNT	0	0.106692305
RPL10	0	0.3578339
COL8A1	0	0.577734325
RPA1	0	0.189037753
APEX1	0	0.148056138
DCK	0	0.095054278
CAD	0	0.071204453
CALR	0	0.693732918
MAP4	0	0.120397348
CANX	0	0.1294699
PIK3R1	0	0.136562558
PSMB8	0	0.09216108
PSMA5	0	0.14266158
PSMB4	0	0.401036373
PSMB6	0	0.45979817
PSMB5	0	0.32285874
GSTM2	0	0.178505213
ABCD3	0	0.15964393
SSFA2	0	-0.05160085
NDUFS1	0	0.105668265
POLD1	0	0.119762335
SMARCA1	0	0.27569488
MAPK1	0	0.052316075
GCA	0	0.030332928
MZF1	0	0.19653682
RXRB	0	0.148981295
ERCC5	0	0.501564313
GRN	0	0.12399066
LAP3	0	0.10592131
GTF2E1	0	0.292011128
GTF2E2	0	0.270189238
PCSK1	0	0.146913135
TPP2	0	0.072477563
IMPA1	0	0.12697074
CTGF	0	0.11179834
EPHA2	0	0.606226565
PTPN6	0	0.35371849
SHC1	0	0.03485447
MPG	0	0.047943235
CRABP2	0	0.515158758
ARID4A	0	0.158653085
KDM5A	0	0.08815164
TKT	0	0.181662505
RBMS1	0	0.047058428
PML	0	0.088505208
TYK2	0	0.39963433
EEF1D	0	0.179533115
MARCKS	0	0.49589606
GNA11	0	0.471501013
ALDH4A1	0	0.173079138
ERP29	0	0.29157824
PRDX6	0	0.26456075
BLVRB	0	0.039906133
PRDX5	0	0.09985634
DDT	0	-0.057233935
GCHFR	0	0.134744175
PRDX3	0	0.825702368
ATP5D	0	0.69292461
RPL12	0	0.17509582
ECHS1	0	0.133401515
CMPK1	0	0.20765544
PEBP1	0	0.12079833
PDIA3	0	0.095338665
PPP2R1A	0	0.081301773
PPP2R1B	0	0.154113353
CDC27	0	0.048424348
PPIF	0	0.081965998
NKTR	0	0.08940574
NMT1	0	0.407693858
HMOX2	0	0.22865289
ADSS	0	0.265367555
LRPAP1	0	0.15020093
ADSL	0	0.115081398
PKLR	0	0.39034636
CLIP1	0	0.119028733
SRI	0	0.240945313
GSTT1	0	0.068497628
SERPINB1	0	0.07988145
ALDH1B1	0	0.067056855
POLR2B	0	0.059456243
SDHA	0	0.519082008
CORO1A	0	0.080839123
GDI1	0	0.234174955
MAT2A	0	0.07846125
PRKAR1B	0	0.927893658
CPS1	0	0.457630795
SDC4	0	0.180110163
TIA1	0	0.02986533
DNAJA1	0	0.03291568
AKT1	0	0.117589758
AKT2	0	0.348666525
UQCRC1	0	0.203611278
HIBADH	0	0.11676688
ATIC	0	0.078385725
HNRNPH3	0	0.079291293
HNRNPH1	0	0.129267055
YWHAB	0	0.284139748
SFN	0	0.118189613
STIP1	0	0.059856753
S100A11	0	0.170752865
PRDX2	0	0.24130392
ARRB2	0	0.09822698
GK	0	0.094129075
CCKAR	0	0.129482523
DCTD	0	0.372550338
PYCR1	0	0.231983815
ELF1	0	0.157459753
GTF2H1	0	0.124138398
CTH	0	0.123811393
RPL9	0	0.490362225
ACSL1	0	0.366827445
KIF5B	0	0.202650905
CSTF2	0	0.14521513
DUT	0	0.100426973
ABCC1	0	0.23286046
ABCD1	0	0.5561565
MAN1A1	0	0.218335415
MCM4	0	0.186977643
MCM5	0	0.248432103
MCM7	0	0.168356915
GALNS	0	0.207129978
SHMT1	0	0.20273211
SHMT2	0	0.12234265
EPHX2	0	0.05069332
HSPA4	0	0.06738922
MPI	0	0.189787243
GPC1	0	0.315649825
PFN2	0	0.477432293
CA8	0	0.538029153
CTNNA1	0	0.108430388
CTNNB1	0	0.21492331
BMI1	0	0.136117478
PCGF2	0	0.209537465
PHB	0	0.284798345
SERPINB6	0	0.0919631
NF2	0	0.046211375
RDX	0	0.243501118
RPA3	0	0.096828208
SFTPD	0	0.260019358
RFC4	0	0.282456603
RFC2	0	0.213613083
RFC1	0	0.060827363
RPL22	0	0.310346963
GTF2F1	0	0.199022873
SPR	0	0.31265828
IDUA	0	0.096285743
FBN2	0	0.236969005
AGL	0	0.057185993
MYH9	0	0.125316115
MYH10	0	0.10191805
COPB2	0	0.323231633
SOAT1	0	0.257036075
ADD1	0	0.131254405
BSG	0	-0.00461874
FUS	0	0.940988703
NUP214	0	-0.010138765
DEK	0	0.1523225
GLRX	0	0.107734815
ZNF93	0	0.131278533
PPM1A	0	0.423369968
IGFALS	0	0.129351005
AHR	0	0.025156003
HMGCL	0	0.705845158
PSMC2	0	0.16525922
GGT5	0	0.132530298
ARL2	0	0.199691073
ARL3	0	0.40706444
MAP2K2	0	0.062690443
ATP5C1	0	0.278264043
ATP6V1E1	0	0.116255273
CPOX	0	0.084926953
RPL4	0	0.06945884
NUDT1	0	0.19576197
LONP1	0	0.1856721
PGM1	0	0.23627894
PPP1CC	0	0.495916833
TGFBR1	0	0.228060865
GNL1	0	0.150431413
LTBR	0	0.125112275
POLR2I	0	0.14967955
SERPINF1	0	-0.05155093
SREBF1	0	0.11755111
DLST	0	0.071268418
GPX4	0	0.09941877
SCNN1A	0	0.406562353
SRP14	0	0.404003488
TGFBR2	0	0.09107076
NUP62	0	0.222349323
FDFT1	0	0.236875573
PIGA	0	0.014823413
TAGLN2	0	0.14326679
TALDO1	0	0.186857158
ETFB	0	0.19676372
RBMX	0	0.11220405
COIL	0	0.015490598
GGCX	0	0.669474018
LIPA	0	0.85131103
ATP6V1A	0	0.10258384
HSPA9	0	0.267082575
EIF4A3	0	0.153768545
RPS19	0	0.357616548
RPL3	0	0.167585153
COL18A1	0	0.217586345
DDOST	0	0.411372553
ANP32A	0	0.161936728
FEN1	0	0.260094278
CUX1	0	0.008599968
CAPG	0	0.382413868
IL6ST	0	0.150108815
CEACAM6	0	0.907169418
TXLNA	0	0.166947748
CCT6A	0	0.188949538
VHL	0	0.33527587
RPL13A	0	0.103148998
ARL1	0	0.48642491
MLH1	0	0.04236962
STAT3	0	0.07173116
USP8	0	0.073291953
PEX19	0	0.125924055
MDH1	0	0.07580895
MDH2	0	0.345696423
RFC5	0	0.197271453
RFC3	0	0.132165595
HADHA	0	0.314486933
EIF2S3	0	0.258596973
ID1	0	0.2518035
ETV3	0	0.184896808
CETN2	0	0.20188445
ETV6	0	0.33723743
EIF2D	0	0.04067453
BUD31	0	0.096913573
NAA10	0	0.206687673
KDM5C	0	0.219962728
PPP1R2	0	0.149786628
CSK	0	0.154867265
PNPLA4	0	0.490554725
GARS	0	0.148137255
IARS	0	0.052248773
EIF1	0	0.193515508
TSPAN7	0	0.315802633
PRKCI	0	0.064320158
ACTR1B	0	0.152538365
ECI1	0	0.325581868
TMPO	0	0.31219469
TMPO	0	-0.01600751
STAT1	0	0.033630353
STAT6	0	0.29203849
SKIV2L2	0	0.11138933
AKR1C3	0	0.064036528
PIK3CA	0	0.132912935
PIK3CB	0	0.207175653
MTOR	0	0.254688028
PI4KA	0	0.226629908
EPS15	0	0.091903963
CASP3	0	0.011338998
RPS27	0	0.236553118
FRK	0	0.223399183
HELZ	0	0.26878043
RBM34	0	0.071653138
LIFR	0	0.137862315
LRPPRC	0	0.286579845
ACAA2	0	0.086678888
RPL35	0	0.113925675
CDKN2A	0	0.421859318
CDKN2C	0	0.154645375
PRCP	0	0.09825448
HTT	0	-0.000824518
ECE1	0	0.24597278
MTHFR	0	0.13282381
SLC1A3	0	0.086391853
PAFAH1B1	0	0.553475058
CRAT	0	0.189561778
CTSO	0	0.645324945
MATR3	0	0.097281383
MSH2	0	0.132485838
GRK6	0	0.57082075
BTD	0	0.38753761
GPD2	0	0.183668965
SSR1	0	0.633142988
ALDH3B1	0	0.186974835
PTPN9	0	0.425044193
SYK	0	0.167237155
RANBP1	0	0.121857088
NAMPT	0	0.133531683
PSMC4	0	0.088664395
NKX2-1	0	0.49973769
TSFM	0	0.164908278
ABCG1	0	0.032894108
PPIC	0	0.279146158
VDAC2	0	0.147210355
ACADSB	0	0.113589458
CBX5	0	0.233616515
USP5	0	0.090920238
MAPK8	0	0.366645018
MAP2K4	0	0.19876834
MKI67	0	0.094054665
PHKA1	0	0.376986255
RANGAP1	0	0.007366163
RECQL	0	0.432243758
NOP2	0	0.172050048
ATRX	0	0.105721858
CRK	0	0.132831558
CRKL	0	0.218124305
MTIF2	0	0.444595715
BAG6	0	0.115552045
NSF	0	0.156735028
CDKN1B	0	0.1282484
NOTCH1	0	0.056095878
MAP2K3	0	0.09842046
BRCC3	0	0.040364253
RPL27A	0	0.595892168
RPL5	0	0.16166742
RPL21	0	0.29889854
RPL28	0	0.361009728
RPS9	0	0.071808583
RPS5	0	0.269390213
RPS10	0	0.380167618
MAP1B	0	0.087964088
GNPDA1	0	0.321522325
YAP1	0	0.254067653
UTRN	0	0.00294986
IQGAP1	0	0.040223628
GYG1	0	0.18734141
STT3A	0	0.470992253
RABIF	0	0.625223958
RAP1GAP	0	0.038166578
CAPZA2	0	0.17292442
CAPZB	0	0.119536035
EIF1AX	0	0.040192188
QARS	0	0.103113978
RPL29	0	0.626481755
ZFP36L2	0	-0.269572555
UQCRFS1	0	0.166591858
ATP5O	0	0.371542235
LIMS1	0	0.243279525
PREP	0	0.38598661
ME1	0	0.05214118
RFX3	0	0.25252693
RFX5	0	0.123010235
PIP4K2A	0	0.177806895
SOX2	0	0.00730983
ARCN1	0	0.023136418
LSS	0	0.248668418
GCLC	0	0.074876948
GCLM	0	0.386228115
CD151	0	0.183077575
TRAPPC10	0	0.027421958
PSMD8	0	0.532686745
PRRC2A	0	0.0606115
GSS	0	0.06432702
CCT5	0	0.035734953
NMU	0	0.282801455
PTDSS1	0	0.174566275
NES	0	0.111307725
HSPA13	0	0.722275645
AMT	0	0.138281705
CSNK1A1	0	0.348962545
CSNK1D	0	0.261574158
IDH2	0	0.210205698
PITPNB	0	0.130663848
CD97	0	0.14950217
POLD2	0	0.071740403
MARCKSL1	0	0.720882048
PXN	0	0.094775593
CAMLG	0	0.23273577
NR2C2	0	0.23748879
MAPKAPK2	0	0.589223938
ALDH9A1	0	0.005735765
RPL34	0	0.534157535
RPIA	0	0.088754155
LMAN1	0	0.111803508
NASP	0	0.137063428
FASN	0	0.122726215
CDK8	0	0.164535655
FNTA	0	0.539955205
FNTB	0	0.954804688
DHPS	0	0.14571554
CCT3	0	0.08391263
MRPL19	0	0.28054121
ARRB1	0	0.035029285
TUFM	0	0.186371773
ALDH7A1	0	0.191694715
CDC34	0	0.20222311
INPP1	0	0.109381803
CYB561	0	0.148925875
GLUD2	0	0.277468398
CENPF	0	1.446593633
SRP9	0	0.10719734
UBE2A	0	0.47536016
PCYT1A	0	0.032773783
AARS	0	0.147293985
CARS	0	0.16234485
HARS2	0	0.14905998
SARS	0	0.11077432
PPM1F	0	0.151856493
PRIM1	0	0.254611385
CSNK1E	0	0.648701318
CTCF	0	0.117350125
CEBPD	0	0.141490008
PSMB3	0	0.210521988
PSMB2	0	0.503583458
MCM2	0	0.132629795
ACADVL	0	0.317646508
YLPM1	0	0.07847863
ACOT2	0	0.200156003
VPS41	0	0.39815035
TMED10	0	0.164134213
RBM25	0	0.126959033
NUMB	0	0.076709525
CLK1	0	0.418870943
CLK3	0	0.35476889
EIF2B2	0	0.153142778
HINT1	0	0.243532453
FHIT	0	0.222676723
NUP153	0	0.002715395
RANBP2	0	-0.0206151
TSC2	0	0.14700363
NDUFV1	0	0.213034413
GSK3A	0	0.13802243
GSK3B	0	0.038210353
TAF6	0	0.200731693
NT5C2	0	0.038227895
SEPHS1	0	0.43052894
MTHFS	0	0.329889515
GMPS	0	0.169696378
LIG3	0	0.376840453
CDKN1C	0	0.102369925
MRE11A	0	0.046662688
HNMT	0	0.04812661
GNAQ	0	0.117789708
GNG10	0	0.094498505
IDH3A	0	0.365507163
SULT1A1	0	0.050044495
CRIP1	0	0.288303343
MMP14	0	0.172013335
PPOX	0	0.195298235
GDI2	0	0.20060222
EMD	0	0.034626715
SERPINB8	0	0.153700925
SERPINH1	0	0.217774398
ST13	0	0.20762218
VASP	0	0.167681123
DNM2	0	0.193973583
METAP2	0	0.191852423
NUDT2	0	0.0736248
CDK7	0	0.031735818
HLCS	0	0.076329673
KNTC1	0	0.152825483
CDK9	0	0.037655875
LRBA	0	0.0446211
BCAM	0	0.046208548
PPT1	0	0.129320053
RPL14	0	0.763577933
CCT8	0	0.1458476
CCT4	0	0.296583303
ANXA11	0	0.19378064
PAPOLA	0	0.43390802
FXR1	0	0.105143195
FXR2	0	0.095999805
RAB5C	0	0.2287253
RAB7A	0	0.247758983
RAB9A	0	0.16877316
RAB13	0	0.20163773
RAB27A	0	0.43010417
PLCD1	0	-0.03813889
DAP	0	0.138230783
DAP3	0	0.142724425
DUSP3	0	0.139172333
ZNF84	0	0.134562235
SMARCA2	0	0.229329385
SMARCA4	0	0.085226225
IDH3G	0	0.099928213
GALK1	0	0.038842188
SSR4	0	0.161027728
BCAP31	0	0.205667103
TPMT	0	0.021985398
RENBP	0	0.059037775
MECP2	0	0.101880473
HCFC1	0	0.185623888
IRAK1	0	0.148053425
ALDH3A2	0	0.239613773
ALDH5A1	0	0.271341563
HSD17B4	0	0.175806075
PSMD7	0	0.05246007
UBE2D1	0	0.16523556
SUOX	0	0.207532733
SGSH	0	0.153513705
ARSD	0	0.221623803
USP11	0	0.107095213
CLCN3	0	0.123698075
CLCN6	0	0.14037552
CLCN7	0	0.078968625
PLXNA3	0	0.5594847
VAMP7	0	0.635284073
RPS6KA3	0	0.09701514
AFF1	0	0.46540958
AKR1D1	0	0.099796873
HDGF	0	0.5570863
CCNH	0	0.096072315
MNAT1	0	0.013833523
NEK4	0	0.357844623
NDUFA8	0	0.148406133
HNRNPA3	0	0.032815383
PGD	0	0.051318553
HNRNPM	0	0.036383673
KPNA2	0	0.266875048
KPNA1	0	0.207865365
NCBP2	0	0.053700048
RAP1GDS1	0	0.43030384
POLR2H	0	0.438885083
ARHGDIA	0	0.174879188
ARHGDIB	0	0.122876945
SLC7A2	0	0.205339168
AGFG1	0	-0.029847543
HNRNPF	0	0.021645535
STAT2	0	0.255095573
GTF2A1	0	0.171381113
MSH6	0	0.20445071
VAV2	0	0.475871288
ZNF133	0	0.156947438
ZNF134	0	0.353219528
ZNF143	0	0.159042335
RBM5	0	-0.016497755
HRSP12	0	0.04945925
SMS	0	0.24084416
MRPL12	0	0.086708503
THOP1	0	0.599691473
AKR1C2	0	0.040668693
CAPZA1	0	0.41621383
HMGA2	0	0.520720545
CRIP2	0	0.453688275
NUP98	0	0.257855955
BLVRA	0	0.283595835
SLC25A1	0	0.12598137
PPP5C	0	0.22552104
DAPK1	0	0.140655828
ARFIP2	0	0.25141186
ARFIP1	0	0.195775768
NUDT6	0	0.110992858
NUBP1	0	0.163822323
ACLY	0	0.020640838
COL4A4	0	0.271425373
CEBPG	0	0.111502325
METAP1	0	0.261128898
SUCLG1	0	0.59785249
MVD	0	0.149448575
PGGT1B	0	0.311663368
RABGGTB	0	0.260337433
COPB1	0	0.109658543
COPA	0	-0.005193973
CTSC	0	0.135432525
AP2S1	0	0.37304939
HCCS	0	0.609917673
PTTG1IP	0	0.105513678
SMTN	0	0.720746288
PLA2G16	0	0.272875515
SLC16A1	0	1.717283875
IST1	0	0.028603593
SEC24C	0	0.121022673
SUB1	0	0.25209734
POLG	0	0.25086996
CLNS1A	0	0.10076844
RARS	0	0.01186419
HIRA	0	0.28434846
ATXN3	0	0.052184413
PMS2	0	0.39098601
YARS	0	0.149923968
USP14	0	0.148662343
PRKAG1	0	0.39660462
PRKAA2	0	0.121346188
HSPA2	0	0.968970443
BCAT1	0	0.135229788
ATP1B3	0	0.435175475
RAD23A	0	0.125582158
RAD23B	0	0.222651273
EPHB4	0	0.129821165
EPHA4	0	0.217554935
DVL1P1	0	0.137107818
NAGLU	0	0.2510384
AK2	0	0.111519078
ALDH18A1	0	0.19293694
